City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
80,Kapaa,US,22.0752,-159.319,59,82,11,6.91,few clouds
81,Saint George,US,37.1041,-113.5841,35.6,55,1,4.61,clear sky
82,Tasiilaq,GL,65.6145,-37.6368,32,93,90,32.21,snow
83,Makokou,GA,0.5738,12.8642,84.2,74,40,4.61,light rain
84,Labuhan,ID,-6.8844,112.2051,78.87,85,81,11.23,broken clouds
85,Manzanares,ES,38.9991,-3.3699,51.01,97,100,1.99,overcast clouds
86,Pierre,US,44.3683,-100.351,1.4,60,75,18.41,broken clouds
87,Katangli,RU,51.7102,143.2326,-2.69,92,100,8.61,overcast clouds
88,Kieta,PG,-6.2167,155.6333,80.26,79,89,8.37,overcast clouds
89,Saint Anthony,US,45.0205,-93.218,-0.4,55,40,13.8,scattered clouds
90,Atuona,PF,-9.8,-139.0333,80.29,75,50,22.59,scattered clouds
91,Sitka,US,57.0531,-135.33,35.6,93,90,4.61,overcast clouds
92,Ararat,AM,39.8317,44.7049,42.8,56,0,1.07,clear sky
93,Kruisfontein,ZA,-34.0033,24.7314,78.01,70,0,5.01,clear sky
94,Ribeira Grande,PT,38.5167,-28.7,60.8,88,75,20.71,broken clouds
95,Boyolangu,ID,-8.1181,111.8935,75.7,89,95,6.49,overcast clouds
96,Comodoro Rivadavia,AR,-45.8667,-67.5,60.8,67,75,14.97,broken clouds
97,Lavrentiya,RU,65.5833,-171,-0.09,89,98,6.53,overcast clouds
98,Praia Da Vitoria,PT,38.7333,-27.0667,64.4,77,40,11.81,scattered clouds
99,Norman Wells,CA,65.282,-126.8329,-38.2,74,40,4.61,scattered clouds
100,Esperance,AU,-33.8667,121.9,60.8,82,75,10.36,broken clouds
101,Pevek,RU,69.7008,170.3133,-2.63,86,100,2.46,overcast clouds
102,Kang,BW,-23.6752,22.7876,72.68,79,58,11.21,moderate rain
103,Katherine,AU,-14.4667,132.2667,77,94,40,6.91,scattered clouds
104,East London,ZA,-33.0153,27.9116,77,83,75,11.5,broken clouds
105,Saskylakh,RU,71.9167,114.0833,-39.17,79,61,4.43,broken clouds
106,Ilulissat,GL,69.2167,-51.1,17.6,41,40,26.46,snow
107,Hermanus,ZA,-34.4187,19.2345,73.99,76,0,5.01,clear sky
108,Manzanillo,CU,20.3433,-77.1167,85.06,52,0,2.35,clear sky
109,Dunedin,NZ,-45.8742,170.5036,57.99,87,4,1.01,clear sky
110,Mashhad,IR,36.297,59.6062,50,66,0,13.8,clear sky
111,Lazaro Cardenas,MX,17.9583,-102.2,80.62,61,31,3.49,scattered clouds
112,Bima,ID,-8.4667,118.7167,76.82,85,79,2.46,broken clouds
113,Vernon,CA,50.2581,-119.2691,33.01,93,100,2.3,light snow
114,Rio Grande,BR,-32.035,-52.0986,77,65,40,10.36,scattered clouds
115,Bajil,YE,15.0584,43.2851,75.47,66,4,7.47,clear sky
116,Prainha,BR,-1.8,-53.48,93.09,41,22,6.06,few clouds
117,Aklavik,CA,68.2191,-135.0107,-27.4,68,20,1.57,few clouds
118,Odesa,UA,46.4775,30.7326,26.6,93,90,6.71,light snow
119,Kapoeta,SS,4.7717,33.5903,89.15,15,22,7.09,few clouds
120,Nianzishan,CN,47.5167,122.8833,-2.24,84,0,6.6,clear sky
121,Klaksvik,FO,62.2266,-6.589,33.8,75,75,20.71,broken clouds
122,Flin Flon,CA,54.7682,-101.865,-31,68,1,9.22,clear sky
123,Prince Rupert,CA,54.3161,-130.3201,37.4,87,90,9.22,overcast clouds
124,Sao Joao Da Barra,BR,-21.6403,-41.0511,80.6,74,75,11.5,broken clouds
125,Vredendal,ZA,-31.6683,18.5012,78.64,54,0,23.96,clear sky
126,Ewa Beach,US,21.3156,-158.0072,62.6,82,90,4.61,overcast clouds
127,Pisco,PE,-13.7,-76.2167,72,83,75,9.22,broken clouds
128,Lensk,RU,60.7253,114.9278,-1.28,90,97,3.67,overcast clouds
129,Santa Cruz De Tenerife,ES,28.4682,-16.2546,57,94,75,25.32,broken clouds
130,Puerto Ayora,EC,-0.7393,-90.3518,82.4,74,40,17.27,scattered clouds
131,Wucheng,CN,29.6008,118.175,50,84,0,0.63,clear sky
132,Arlit,NE,18.7369,7.3853,86.13,11,100,13.13,overcast clouds
133,Afzalpur,IN,17.2,76.35,75.09,25,0,6.55,clear sky
