City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
126,Ewa Beach,US,62.6,overcast clouds,21.3156,-158.0072,Base Lodging
127,Pisco,PE,72.0,broken clouds,-13.7,-76.2167,Hotel San Isidro Oficial
129,Santa Cruz De Tenerife,ES,57.0,broken clouds,28.4682,-16.2546,Hotel Silken Atlántida Santa Cruz
130,Puerto Ayora,EC,82.4,scattered clouds,-0.7393,-90.3518,Castillo Galapagos
131,Wucheng,CN,50.0,clear sky,29.6008,118.175,Xiuwu Restaurant
132,Arlit,NE,86.13,overcast clouds,18.7369,7.3853,Case de Passage De la Prefecture
133,Afzalpur,IN,75.09,clear sky,17.2,76.35,SGK centre Kamat
134,Cuicatlan,MX,85.26,clear sky,17.8,-96.9667,Vieja Biblioteca
136,Port Alfred,ZA,77.0,few clouds,-33.5906,26.891,The Halyards Hotel
139,Enid,US,43.0,broken clouds,36.3956,-97.8784,Ramada by Wyndham Enid
141,Katsuura,JP,50.0,clear sky,35.1333,140.3,Katsuura Hotel Mikazuki
143,Belmonte,BR,86.0,broken clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
144,Archidona,ES,62.01,broken clouds,37.0965,-4.3887,Hotel Escua
145,Mount Isa,AU,75.2,heavy intensity rain,-20.7333,139.5,ibis Styles Mt Isa Verona
146,Karratha,AU,78.82,clear sky,-20.7377,116.8463,ibis Styles Karratha
147,Cooma,AU,55.4,clear sky,-36.2333,149.1333,High Country Motel
148,Tukrah,LY,65.71,scattered clouds,32.5341,20.5791,Lokta restaurant
150,Butaritari,KI,80.89,light rain,3.0707,172.7902,Isles Sunset Lodge
152,Erattupetta,IN,80.6,haze,9.7,76.7833,White Castle Residency
154,Warrnambool,AU,57.99,overcast clouds,-38.3833,142.4833,Lady Bay Resort
155,Carutapera,BR,89.11,broken clouds,-1.195,-46.02,Lidera
156,Neftcala,AZ,47.23,scattered clouds,39.3742,49.2472,Otel restoran
157,Miramar,US,82.0,scattered clouds,25.9873,-80.2323,Stadium Hotel
159,Biak,ID,77.09,overcast clouds,-0.9131,122.8766,Penginapan Kim
160,Faya,SA,55.4,scattered clouds,18.3851,42.4509,مقبرة ال مجمل
161,Cabo San Lucas,MX,62.6,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
162,Quzhou,CN,53.08,clear sky,28.9594,118.8686,Quzhou Jiujiu Business Hotel
163,Atar,MR,75.96,scattered clouds,20.5169,-13.0499,Oumou Elghoura
164,Te Anau,NZ,52.79,few clouds,-45.4167,167.7167,Kingsgate Hotel Te Anau
166,Carnarvon,AU,80.6,broken clouds,-24.8667,113.6333,Hospitality Carnarvon
168,Titlagarh,IN,66.4,clear sky,20.3,83.15,Jalaram Lodging & Boarding
169,Monrovia,LR,82.4,broken clouds,6.3005,-10.7969,Sunset Inn
170,Ariquemes,BR,77.04,overcast clouds,-9.9133,-63.0408,Hotel Sol Nascente - Ariquemes - RO
171,Mar Del Plata,AR,72.0,broken clouds,-38.0023,-57.5575,Gran Hotel Mar del Plata
172,Salalah,OM,75.2,scattered clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
173,Dingle,PH,75.36,light rain,10.9995,122.6711,SEGAYA PROPERTY
174,Goba,ET,54.39,broken clouds,7.0167,39.9833,Goba Wabe Shebelle Hotel
177,Nhulunbuy,AU,80.6,broken clouds,-12.2333,136.7667,East Arnhem Real Estate
179,Ponta Do Sol,PT,62.6,scattered clouds,32.6667,-17.1,Hotel do Campo
180,Morro Bay,US,54.0,clear sky,35.3658,-120.8499,Inn at Morro Bay
182,Georgetown,MY,86.0,few clouds,5.4112,100.3354,Cititel Penang
183,Vao,NC,77.31,clear sky,-22.6667,167.4833,Hotel Kou-Bugny
185,Cidreira,BR,74.39,broken clouds,-30.1811,-50.2056,Hotel Castelo
186,Berbera,SO,75.9,scattered clouds,10.4396,45.0143,IBCO REAL ESTATE PROPERTY
187,Matara,LK,77.16,moderate rain,5.9485,80.5353,Amaloh Boutique Resort
189,Port Elizabeth,ZA,82.4,few clouds,-33.918,25.5701,39 On Nile Guest House
190,Kamina,CD,72.43,light rain,-8.7386,24.9906,Guest House la Grace
191,Arraial Do Cabo,BR,75.2,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
192,Munirabad,IN,75.67,broken clouds,15.3333,76.3333,ಕಿತ್ತೂರ್ ರಾಣಿ ಚೆನ್ನಮ್ಮ ಸರ್ಕಲ್
194,Rabo De Peixe,PT,60.8,scattered clouds,37.8,-25.5833,Quinta das Giestas
197,Manasa,IN,60.94,clear sky,24.4837,75.2687,Namdev Nasta Point
198,Uyuni,BO,61.36,broken clouds,-20.4597,-66.825,Hostal La Magia de Uyuni
199,San Miguel,SV,80.6,clear sky,13.4833,-88.1833,Excalibur
201,Mildura,AU,66.2,overcast clouds,-34.2,142.15,Mercure Hotel Mildura
203,Kalakamati,BW,78.8,light rain,-20.5929,27.3121,
204,Birao,CF,82.8,broken clouds,10.2849,22.7882,
208,Tuatapere,NZ,51.49,clear sky,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
209,Robinson,US,46.99,overcast clouds,31.4677,-97.1147,Flat Creek Farms RV Resort
211,Caravelas,BR,82.89,light rain,-17.7125,-39.2481,Pousada dos Navegantes
212,Guerrero Negro,MX,56.44,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
213,Tshikapa,CD,78.55,overcast clouds,-6.4167,20.8,Hôtel Tshia-Muntu de Tshikapa
214,Ormara,PK,69.1,clear sky,25.2088,64.6357,Crystal Beach and Camping Resort Ormara
215,Bengkulu,ID,76.86,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
216,Mana,GF,80.22,broken clouds,5.6592,-53.7767,LE SAMANA
217,Kailua,US,62.6,broken clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
218,San Andres,CO,84.2,scattered clouds,12.5847,-81.7006,Hotel Arena Blanca
219,Shu,KZ,40.01,overcast clouds,43.5983,73.7614,Shyngyzkhan
222,Muncar,ID,77.09,overcast clouds,-8.4333,114.3333,Zaky Homestay
225,Inhambane,MZ,89.01,scattered clouds,-23.865,35.3833,Oceano
226,Praya,CV,75.2,broken clouds,14.9215,-23.5087,LT Aparthotel
227,Half Moon Bay,US,48.0,mist,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
228,Jaru,BR,77.16,moderate rain,-10.4389,-62.4664,Hotel Paraná
231,Luwuk,ID,77.77,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
232,Rusanesti,RO,42.8,fog,43.9333,24.6,La Străbunica
233,Sao Filipe,CV,71.04,clear sky,14.8961,-24.4956,Tortuga B&B
236,Mount Gambier,AU,55.4,overcast clouds,-37.8333,140.7667,Commodore on the Park
238,Padang,ID,77.0,few clouds,-0.9492,100.3543,Mercure Padang
241,Cayenne,GF,78.8,mist,4.9333,-52.3333,Hôtel Le Dronmi
244,Fortuna,US,45.0,overcast clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
246,Sorong,ID,81.03,overcast clouds,-0.8833,131.25,The Waigo Hotel
250,San Patricio,US,60.8,mist,28.017,-97.5169,"Motel 6 Sinton, TX"
252,Wakefield,GB,41.0,overcast clouds,53.6809,-1.499,Hotel Restaurant Campanile Wakefield
253,Port Hardy,CA,44.6,light rain,50.6996,-127.4199,Airport Inn
254,Alofi,NU,77.0,overcast clouds,-19.0595,-169.9187,Taloa Heights
255,Manosque,FR,57.0,overcast clouds,43.8288,5.7869,Hôtel Restaurant Campanile Manosque
257,Palaikastron,GR,63.0,clear sky,35.2,26.25,Marina Village
261,Nishihara,JP,68.0,few clouds,26.1842,127.7558,Minshuku Agaihama
262,Altea,ES,62.01,scattered clouds,38.5989,-0.0514,Albir Playa Hotel & Spa
263,Samarai,PG,82.49,overcast clouds,-10.6167,150.6667,Nuli Sapi
267,Ahuimanu,US,62.6,broken clouds,21.4447,-157.8378,Paradise Bay Resort
268,Norsup,VU,78.73,clear sky,-16.0667,167.3833,Nabelchel Bungalows
270,Gromiljak,BA,59.0,clear sky,43.9667,18.0531,Maks
271,Garowe,SO,78.64,clear sky,8.4054,48.4845,Curubo Hotel
273,Nhlangano,SZ,71.64,overcast clouds,-27.1167,31.2,Nhlangano BnB
276,Bilma,NE,81.05,few clouds,18.6853,12.9164,Expeditions Ténére voyages
277,Matay,EG,64.11,clear sky,28.419,30.7792,Nag Aespen
278,Coquimbo,CL,62.6,overcast clouds,-29.9533,-71.3436,Hotel San Juan
279,San Quintin,MX,58.06,clear sky,30.4833,-115.95,Old Mill Hotel
280,Sakakah,SA,59.0,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
281,Mandasa,IN,68.27,clear sky,18.8667,84.4667,Sri venkateswara hotel
282,Baglan,AF,59.0,overcast clouds,36.1307,68.7083,Habibullah MOsazai
285,Mecca,SA,71.37,broken clouds,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
286,Pavagada,IN,72.36,few clouds,14.1,77.2667,HOTEL GAYATHRI COMFORTS
287,Erzin,TR,62.01,clear sky,36.9559,36.2,Artemis Otel
289,Ancud,CL,73.0,clear sky,-41.8697,-73.8203,Hotel Arena Gruesa
290,Mookane,BW,67.62,light rain,-23.688000000000002,26.6595,
291,Mponela,MW,78.8,light rain,-13.5319,33.7401,Ram's Executive Lodge
292,Ambilobe,MG,76.26,light rain,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
293,Coahuayana,MX,68.0,clear sky,18.7333,-103.6833,Hotel Los Arcos
294,Castro,BR,75.34,clear sky,-24.7911,-50.0119,CHACARA BAILLY
295,Marawi,PH,75.99,overcast clouds,7.9986,124.2928,Derogongan Residence
296,Bambous Virieux,MU,80.6,few clouds,-20.3428,57.7575,Casa Tia Villa
298,Gat,IL,64.99,few clouds,31.61,34.7642,OlusHome
299,Metu,ET,71.62,clear sky,8.3,35.5833,Darfn hotel
300,Gibara,CU,84.2,clear sky,21.1097,-76.1317,Sol y Mar
302,Northam,GB,45.0,broken clouds,51.0333,-4.2167,Durrant House Hotel
303,Kifri,IQ,56.16,overcast clouds,34.6959,44.9661,میزان کفری
304,Pombas,CV,75.2,scattered clouds,17.1503,-25.0201,POUSADA O RECANTO
305,Acarau,BR,88.02,broken clouds,-2.8856,-40.12,castelo pizzaria
307,Tefe,BR,82.4,broken clouds,-3.3542,-64.7114,Aracati Hotel
312,Barreiros,BR,87.75,scattered clouds,-8.8183,-35.1864,Recanto Bird
313,Cabedelo,BR,89.6,scattered clouds,-6.9811,-34.8339,Hotel Pigalle
315,Bandarbeyla,SO,76.8,few clouds,9.4942,50.8122,JABIR HOTEL
316,Haimen,CN,60.8,clear sky,23.1935,116.6142,Jinghao Business Hotel
317,Nongstoin,IN,49.24,clear sky,25.5167,91.2667,P.W.D. Inspection Bungalow
318,Micheweni,TZ,81.5,clear sky,-4.9667,39.8333,
319,Moron,AR,90.0,clear sky,-34.6534,-58.6198,Hotel Morón
320,Arica,CL,78.8,clear sky,-18.475,-70.3042,Hostal Jardin Del Sol
322,Bintulu,MY,78.8,light rain,3.1667,113.0333,900 Boutique INN
323,Tallahassee,US,50.0,overcast clouds,30.4383,-84.2807,Four Points by Sheraton Tallahassee Downtown
324,Edeia,BR,82.35,light rain,-17.3383,-49.9314,Hotel Imperial Edeia
325,Ballina,AU,71.6,overcast clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
328,Santa Rosa,PH,79.0,broken clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
330,Yeppoon,AU,77.0,overcast clouds,-23.1333,150.7333,Villa Mar Colina
331,Muroto,JP,53.8,clear sky,33.2833,134.15,Oota Ryokan
332,Yulara,AU,80.6,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
333,Codrington,AU,59.81,overcast clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
334,Lucapa,AO,71.42,moderate rain,-8.4192,20.7447,Residência Ulisses Dos Santos
336,San Ramon,US,46.99,clear sky,37.7799,-121.978,San Ramon Marriott
337,Kavieng,PG,81.86,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
338,Todos Santos,MX,66.99,clear sky,23.45,-110.2167,Hotel California Todos Santos
339,Blora,ID,74.95,broken clouds,-6.9698,111.4186,Hotel Adhi Jaya
343,Margate,GB,45.0,overcast clouds,51.3813,1.3862,Premier Inn Margate hotel
344,Khargone,IN,65.98,clear sky,21.8167,75.6,Vallabha Hotel
346,Kilindoni,TZ,82.24,few clouds,-7.9139,39.6668,Bustani B&B
349,Ratnagiri,IN,76.78,clear sky,16.9833,73.3,Hotel Landmark
350,Plettenberg Bay,ZA,73.13,clear sky,-34.0527,23.3716,Thanda Vista B&B
351,Nouadhibou,MR,71.6,sand,20.930999999999997,-17.0347,El Medina
352,Littlehampton,GB,46.4,broken clouds,50.8069,-0.5378,Bailiffscourt Hotel & Spa
353,Pontianak,ID,77.0,overcast clouds,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
354,Rio Gallegos,AR,57.2,few clouds,-51.6226,-69.2181,Hotel Santa Cruz
356,Flinders,AU,66.99,clear sky,-34.5833,150.8552,Shellharbour Resort & Conference Centre
358,Lucea,JM,84.99,few clouds,18.451,-78.1736,Grand Palladium Jamaica Resort & Spa
359,Kandrian,PG,79.09,overcast clouds,-6.2167,149.55,Kandrian Station
360,Naze,JP,61.07,overcast clouds,28.3667,129.4833,奄美ポートタワーホテル
361,Rawson,AR,66.06,few clouds,-43.3002,-65.1023,Hosteria Sampedro
362,Grand Gaube,MU,80.01,scattered clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
364,Ascension,US,50.0,overcast clouds,30.2169,-90.9001,Highland Inn
365,Ahipara,NZ,58.87,overcast clouds,-35.1667,173.1667,Ahipara Holiday Park
368,Horsham,GB,46.4,light rain,51.06399999999999,-0.3272,Springfields Hotel
369,Kununurra,AU,82.4,broken clouds,-15.7667,128.7333,Hotel Kununurra
370,Punta Umbria,ES,57.99,overcast clouds,37.1821,-6.9661,Barceló Punta Umbría Beach Resort
371,Kamaishi,JP,40.17,broken clouds,39.2667,141.8833,Hotel Route Inn Kamaishi
372,Maraa,BR,83.03,overcast clouds,-1.8333,-65.3667,
373,Namibe,AO,75.43,scattered clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
378,Topolobampo,MX,57.2,clear sky,25.6,-109.05,Hotel Marina Topolobampo
379,Najran,SA,78.8,scattered clouds,17.4924,44.1277,محمد هادي ال فطيح
383,Moerai,PF,80.51,light rain,-22.4333,-151.3333,Le Manotel
384,San Cristobal,VE,67.12,overcast clouds,7.7669,-72.225,Pirineos
387,Hasaki,JP,41.0,few clouds,35.7333,140.8333,Inubosaki Kanko Hotel
388,Luau,AO,75.2,light rain,-10.7073,22.2247,Kimbo Hotel
389,Saldanha,ZA,77.0,few clouds,-33.0117,17.9442,Blue Bay Lodge
392,Hobyo,SO,78.26,clear sky,5.3505,48.5268,Halane Hotel and Restaurent
394,Progreso,MX,73.4,mist,21.2833,-89.6667,Playa Linda Hotel
395,Vila Velha,BR,87.8,few clouds,-20.3297,-40.2925,Hotel Vitória Palace
396,Pacific Grove,US,41.0,clear sky,36.6177,-121.9166,Lovers Point Inn
397,Tabas,IR,60.8,clear sky,33.5959,56.9244,شرکت معماری مهراز شایگان آراد
399,Matucana,PE,67.91,broken clouds,-11.85,-76.4,Hostal La Fontana
400,Kuching,MY,77.0,few clouds,1.55,110.3333,Hilton Kuching
401,Riyadh,SA,68.0,broken clouds,24.6877,46.7219,InterContinental Riyadh
402,Alice Springs,AU,77.0,scattered clouds,-23.7,133.8833,Desert Palms Alice Springs
403,Naifaru,MV,81.77,scattered clouds,5.4444,73.3657,Naifaru Residence Guest House
404,Lasa,IT,45.0,few clouds,46.6166,10.7002,Pension Feldgärtenhof
405,Bubaque,GW,79.92,few clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
406,Oktyabrskoye,RU,42.01,overcast clouds,43.0645,44.7417,Prolesok Mini-hotel
410,Issoire,FR,51.8,overcast clouds,45.55,3.25,ACE Hôtel - Issoire
412,Itoman,JP,68.0,scattered clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
413,Ivybridge,GB,45.0,broken clouds,50.3904,-3.9191,The Anchor Inn
414,Kaeo,NZ,62.01,overcast clouds,-35.1,173.7833,Bushido Lodge
415,Simao,CN,55.94,broken clouds,22.7886,100.9748,Changyu Hotel
416,Muli,MV,81.86,overcast clouds,2.9167,73.5667,Medhufushi Island Resort
417,Boa Vista,BR,86.0,moderate rain,2.8197,-60.6733,Aipana Plaza Hotel
418,Melilla,ES,60.8,clear sky,35.2937,-2.9383,Hotel Anfora
420,Mahebourg,MU,80.6,few clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
421,Rio Negro,BR,80.47,clear sky,-26.1058,-49.7975,Hotel Emacite Flex
422,Sumbawanga,TZ,68.0,moderate rain,-7.9667,31.6167,Matamba II Guest House
423,Linfen,CN,47.3,broken clouds,36.0889,111.5189,Suoxing Hotel
425,Kupang,ID,79.59,overcast clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
426,Buraydah,SA,53.6,broken clouds,26.326,43.975,Mövenpick Hotel Qassim
427,Wattegama,LK,73.4,moderate rain,6.7989,81.4808,
428,Shakawe,BW,78.71,light rain,-18.3667,21.85,Ditlhapi Guest House
429,Safaga,EG,71.6,clear sky,26.7292,33.9365,Lamar Resort Abu Soma
431,Ugoofaaru,MV,82.08,broken clouds,5.6667,73.0,Ungoofaaru Inn
433,Islahiye,TR,62.01,clear sky,37.025,36.6306,İslahiye Sabanci Teachers
435,Sao Miguel Do Araguaia,BR,82.6,overcast clouds,-13.275,-50.1628,Hotel Executivo Palace
436,Gamba,GA,82.26,light rain,-2.65,10.0,
437,Souillac,MU,80.6,few clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
438,Lingao,CN,67.95,few clouds,19.9103,109.6859,Lingao Ditai Inn
439,Stutterheim,ZA,77.0,broken clouds,-32.5708,27.424,Yellowwood Creek
441,Redlands,US,57.0,clear sky,34.0556,-117.1825,Dynasty Suites Redlands
442,Buhe,CN,53.33,broken clouds,30.2876,112.2298,Jingzhou Hongmen Hotel
443,Pergamino,AR,87.01,clear sky,-33.89,-60.5736,Hotel Fachinat
444,Ambatofinandrahana,MG,67.1,moderate rain,-20.55,46.8,TATAMO
445,Meulaboh,ID,80.01,broken clouds,4.1363,96.1285,Kost Pria
446,Springbok,ZA,80.35,clear sky,-29.6643,17.8865,Undulata Country Lodge
447,Oussouye,SN,80.6,clear sky,12.485,-16.5469,Auberge du Routard
448,Lahij,YE,70.5,clear sky,13.1667,44.5833,
449,Voitsberg,AT,46.99,clear sky,47.0333,15.15,Ettlmaier
450,Richards Bay,ZA,78.82,scattered clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
451,Saint-Pierre,RE,84.2,light rain,-21.3393,55.4781,Lindsey Hôtel
452,Hervey Bay,AU,77.0,overcast clouds,-25.2986,152.8535,Shelly Bay Resort
453,Banjarmasin,ID,78.8,few clouds,-3.3244,114.59100000000001,Swiss-Belhotel Borneo Banjarmasin
454,Ko Samui,TH,80.62,scattered clouds,9.5357,99.9357,"The Passage Samui Villas & Resort, Thailand"
456,Ploemeur,FR,51.01,few clouds,47.7333,-3.4333,Best Western Plus Hotel Les Rives Du Ter
457,Khash,IR,53.56,clear sky,28.2211,61.2158,دفتر پیشخوان دولت جمال زهی (خالد)
460,Amahai,ID,79.52,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
461,Purranque,CL,71.6,clear sky,-40.9167,-73.1667,HOSPADAJE ERICA
462,Hirara,JP,70.03,clear sky,24.8,125.2833,Hotel Atoll Emerald Miyakojima
464,Dickson,US,43.0,scattered clouds,36.077,-87.3878,East Hills Bed & Breakfast Inn
465,Umm Lajj,SA,72.84,clear sky,25.0213,37.2685,Moon light Furnished Units
466,Kahului,US,62.6,broken clouds,20.8947,-156.47,Maui Seaside Hotel
468,Ixtapa,MX,62.6,clear sky,20.7,-105.2,Container Inn Puerto Vallarta
469,Bundaberg,AU,77.0,overcast clouds,-24.85,152.35,Takalvan Motel
470,Sokoni,TZ,86.0,few clouds,-6.4333,39.55,Ujamaa Beach Resort
